,0
43,"COP27 negotiators agree to set up first ever fund to compensate vulnerable nations for the impacts of climate change
https://t.co/Ea8NjCl8gG"
44,"Elon Musk restores Donald Trump's Twitter account following the results of a poll on the platform
https://t.co/kcXVHTulSP"
45,FIFA head Gianni Infantino launched a tirade against Western critics of the World Cup on the eve of kickoff in Qatar https://t.co/pmSp4QZ55T
46,A judge in Georgia will allow early voting on the Saturday after Thanksgiving in the state's US Senate runoff https://t.co/NrbzRTOBbq
47,Elizabeth Holmes has been sentenced to more than 11 years in prison for defrauding investors while running the failed blood testing startup Theranos https://t.co/jXNuTsq2xC
48,Attorney General Merrick Garland will name a special counsel to determine whether former President Donald Trump should face charges related to Justice Department investigations https://t.co/O5DYiD1tia
49,Democrat Adam Frisch concedes to GOP Rep. Lauren Boebert in close US House race in Colorado https://t.co/TY0XHGNdtU
50,"Taylor Swift said the Ticketmaster fiasco that infuriated fans trying to buy tickets for her new tour was ""excruciating for me"" https://t.co/RMwWsfenxx"
51,The Biden administration has asked the Supreme Court to allow its controversial student loan relief program to go into effect while legal challenges play out https://t.co/aucs8nMVJl
52,Democratic US Rep. Hakeem Jeffries of New York will run for House minority leader. He would be the first Black person to lead a party in Congress. https://t.co/2eYXDJ3kTY
53,"The acting police chief on the day of the Uvalde school massacre in Texas has resigned from the department, mayor says https://t.co/ZUXLxaDpmr"
54,A Dutch court finds two Russians and a separatist Ukrainian guilty of mass murder over the downing of flight MH17 over Ukraine in 2014 that killed 15 crew members and 283 passengers https://t.co/L91aqqSfSm
55,"Russia agrees to extend a deal that allows Ukraine to export grain via the Black Sea, easing pressures on global food supplies https://t.co/ZOLzEqjaTw"
56,The man convicted of killing six people during a Christmas parade in Wisconsin has been sentenced to life in prison. https://t.co/DmhBpL0UgG
57,"Republicans will control the House, CNN projects. It's not the red wave Republicans had envisioned, but it will allow the party to launch investigations into the Biden administration and block his agenda. https://t.co/glnIA3hBLA https://t.co/wZTudLb2Ta"
58,"Mitch McConnell will remain Senate GOP leader, fending off a challenge by Rick Scott amid divisions within the party and disappointing midterms. https://t.co/S4a5UsGNEJ"
59,"Initial US assessments indicate the missile that landed in Poland may have originated in Ukraine, not Russia, two officials say.

Follow live updates: https://t.co/0nBDyVZvFN"
60,NASA launches Artemis I mission to the moon for historic 25.5-day journey into deep space. https://t.co/g1oyaHRg6a
61,"Former President Donald Trump announces another run for the White House and enters the 2024 race, aiming to become only the second US president ever elected to two nonconsecutive terms. https://t.co/0sdl5NAODw https://t.co/0GQqPJo19g"
62,"Poland, a NATO member, confirms a Russian-made missile was responsible for the deaths of two people in a small town near the Ukraine border
https://t.co/1P7sUPzCEw"
63,"Judge blocks Title 42, the controversial Trump-era pandemic rule allowing US authorities to expel over 1 million migrants who crossed the US-Mexico border
https://t.co/XmX7ycS6bc"
64,"Rick Scott told fellow GOP senators he will challenge Senate Minority Leader Mitch McConnell to be leader of the party in the chamber next year
https://t.co/05Gd5p4AdC"
65,Two people have reportedly been killed by missiles or rockets in Poland as a wave of Russian strikes hit western Ukraine. The origin of the projectiles is unclear. https://t.co/bwJI8laA5a
66,"House GOP leader Kevin McCarthy has won his party's nomination for speaker, beating conservative challenger Rep. Andy Biggs in a 188-31 vote https://t.co/X2ofvCsffG"
67,Russian missile strikes hit residential buildings in Kyiv as air raid sirens sound throughout Ukraine. Follow live updates: https://t.co/EaSOryAG9y
68,"EXCLUSIVE: US intelligence suggests Russia may have delayed announcing its withdrawal from Kherson until after midterms, sources say https://t.co/6npZI7ejA0"
69,"CNN PROJECTION: Democrat Katie Hobbs will be Arizona's governor after a tight race. She defeats Trump-backed Republican Kari Lake, who denied 2020 election results https://t.co/9W74uOBl0I https://t.co/gkc4roQ403"
70,Federal prosecutors have closed the foreign lobbying investigation into Rudy Giuliani without any charges https://t.co/xcin0R01Lc
71,"Documents show six nations spent more than $700,000 at Trump's DC hotel, a rare case of foreign governments spending money with a sitting president https://t.co/uBwERHpec6"
72,The Supreme Court says the House January 6 committee may obtain the phone and text records of Arizona Republican Party Chair Kelli Ward https://t.co/kdVwwnNlsu
73,"A suspect is in custody after a shooting at the University of Virginia that left three football players dead and wounded two others, police say https://t.co/WbB0uTVRpH"
74,The CIA director is meeting with his Russian counterpart to deliver a message on the use of nuclear weapons and discuss the detention of US citizens https://t.co/XP47lGfHl6
75,A shooter has killed three people and wounded two others at the University of Virginia's main campus. The suspect remains at large. https://t.co/sO4qduybci
76,Ukraine's President Zelensky arrives in Kherson for an unannounced visit to celebrate recapture of the key southern city https://t.co/xJdkgcBqaJ
77,"An explosion rocked a popular tourist area in central Istanbul with casualties reported, the city's governor says https://t.co/yhQ83zlNiU"
78,"With Sen. Cortez Masto's key win in Nevada, Democrats will maintain control of the chamber in a big victory for President Biden, CNN projects
https://t.co/TTskI9MEqi https://t.co/SXHwX4s8FC"
79,"Two planes have collided during the Wings Over Dallas air show at Dallas Executive Airport, authorities said
https://t.co/c9wOZmK53m"
80,"$473 million in assets are missing from the reeling cryptocurrency exchange, which just filed for bankruptcy.
https://t.co/ECurmQMdQp"
81,"After eight months living under Russian occupation, euphoric Ukrainians gather in the city's ""Freedom Square"" to celebrate liberation https://t.co/o2eaGlpYnU"
82,"CNN PROJECTION: Democratic Sen. Mark Kelly will be elected to a full term, keeping Senate seat blue in Arizona as he defeats Republican Blake Masters https://t.co/Z5U4CdnVe2 https://t.co/jIcBxZ358R"
83,"Comedian Gallagher, best known for his watermelon-smashing comedy routine and many popular specials in the 1980s, died Friday morning, according his manager. He was 76. https://t.co/Zteyp9qGq5"
84,"FTX launches voluntary bankruptcy proceedings and its CEO resigns, marking a stunning downfall for one of the most powerful players in crypto https://t.co/yUgJBsbTi5 https://t.co/MhzkHZXYCb"
85,A Ukrainian official for the first time acknowledged that Kherson city is “almost under the control of the Armed Forces of Ukraine.” Follow live updates: https://t.co/MGtpOvh0Ug
86,Tonga issues tsunami warning and calls for evacuation inland after large earthquake near Pacific island nation  https://t.co/YNPTN0XB6m
87,"Benjamin Netanyahu will be invited on Sunday to form Israel's next government, paving his way to the top job for a record sixth time https://t.co/QtqrBHaZPx"
88,"All Russian troops have left the key Ukrainian city of Kherson, defense ministry says, confirming a humiliating retreat for Moscow https://t.co/7ky1B77hkA"
89,"A federal judge strikes down President Biden's student loan forgiveness program, which is already on hold due to a separate legal challenge
https://t.co/fFjqdGUJZU"
90,Conspiracy theorist Alex Jones has been ordered to pay another nearly half a billion dollars for his impact on families affected by 2012 Sandy Hook shooting https://t.co/vCIKocDO0L
91,President Joe Biden will meet Chinese leader Xi Jinping face-to-face on Monday in their first in-person encounter since Biden took office https://t.co/pCy8KgkPif
92,"Consumer prices rose 7.7% for the year ending in October, down from an 8.2% increase in September https://t.co/hfJaOO8YVP"
93,"Hurricane Nicole makes landfall in Florida with 75 mph winds. It comes just weeks after Ian brought devastation to parts of the state.
https://t.co/EAoUGc61qO"
94,Nicole strengthens to a Category 1 hurricane as it takes aim at Florida’s east coast after lashing the Bahamas https://t.co/fd2jqcs7Ss
95,Moscow orders a retreat from the west bank of the Dnipro River in Kherson as Ukrainian troops advance https://t.co/EJnPmmx5l3
96,"CNN PROJECTION: Democratic Gov. Laura Kelly will win reelection in Kansas, CNN projects, defeating Republican state Attorney General Derek Schmidt in a state former President Donald Trump won by 15 percentage points two years ago https://t.co/zKSof8in06 https://t.co/uGoUryIygH"
97,"Pieper Lewis, the Iowa teen who killed a man she said raped her multiple times, is back in custody following her escape from the residential corrections facility where she was serving probation, according to the Polk County Sheriff's Office https://t.co/A0lSkwCryv"
98,"Meta, the parent company of Facebook, said it's laying off 11,000 employees, the most significant job cuts in the tech giant's history
https://t.co/N41TPxYUEP"
99,"CNN Projection: Democratic Rep. Chris Pappas will win reelection in New Hampshire’s 1st Congressional District, keeping the swing seat in Democratic hands by defeating Karoline Leavitt, who worked as a press aide to former President Donald Trump https://t.co/uIvIf8K8VV https://t.co/OioH1bQFbR"
100,"US women’s basketball star Brittney Griner is being transferred to a Russian penal colony and her whereabouts are unknown, her attorneys say https://t.co/qXKmAiQ8CR"
101,"CNN PROJECTION: Democratic Gov. Gretchen Whitmer will win reelection in Michigan, defeating Trump-backed Republican challenger Tudor Dixon https://t.co/CCPqF3qePU https://t.co/zNWZ7ltGb4"
102,"CNN PROJECTION: Wisconsin Gov. Tony Evers, a Democrat, will win his reelection race, defeating Trump-backed Republican Tim Michels https://t.co/xipMMZ1Qme https://t.co/grVC3Duwgz"
103,"CNN PROJECTION: Democrat John Fetterman defeats Republican Mehmet Oz in the Pennsylvania Senate race, flipping a seat for Democrats https://t.co/6MHAK1ZAxk https://t.co/rJfCxnAbZL"
104,"CNN PROJECTION: Republican Brad Raffensperger, who refused Trump's request to ""find"" thousands of votes during the 2020 election, will be reelected as Georgia secretary of state https://t.co/JqsS9AKvn1"
105,"CNN PROJECTION: House Speaker Nancy Pelosi has won reelection, defeating a longshot Republican challenger https://t.co/pNv1oqRvbX https://t.co/Mc28CAwYMp"
106,"CNN PROJECTION: Democratic New York Gov. Kathy Hochul will win election to a full term, becoming the first woman to do so. She defeats Trump-backed Republican Lee Zeldin https://t.co/fvlu9Ikrzr https://t.co/3N8LHWcqst"
107,"CNN PROJECTION: House GOP leader Kevin McCarthy has won reelection, defeating a longshot Democratic challenger in the race for California’s 20th District https://t.co/0aoqMMORh7 https://t.co/aH2YJvEC1E"
108,"CNN PROJECTION: Democrat Gavin Newsom will win another term as California's governor, a year after he faced a recall election https://t.co/TaWtQ0I77V"
109,"CNN PROJECTION: Harriet Hageman, who ousted Trump critic Liz Cheney in the GOP primary and was backed by the former president, will win Wyoming's sole congressional seat https://t.co/tw3PhYC0g7 https://t.co/nWjNtLjmp4"
110,"CNN PROJECTION: J.D. Vance, a Republican who has embraced Trumpism, will win the Senate race in Ohio, defeating Democrat Tim Ryan https://t.co/reBnTxEz7d https://t.co/CqVxtcmeFO"
111,"CNN PROJECTION: Democrat Josh Shapiro will win the Pennsylvania governor's race, defeating Trump-backed Republican Doug Mastriano https://t.co/xeMD1YKUfS https://t.co/s4juhl9KTf"
112,"CNN PROJECTION: Republican Georgia Gov. Brian Kemp will win another term, defeating Democratic challenger Stacey Abrams in their closely watched rematch https://t.co/YvrMdxebqT https://t.co/fTeXH4cXlx"
113,"CNN PROJECTION: Democrat Summer Lee will win election to Pennsylvania’s 12th District, becoming the first Black woman elected to Congress from the state https://t.co/1yW9wcALwr"
114,"CNN PROJECTION: Democrat Maura Healey will win the Massachusetts governor's race, defeating Republican Geoff Diehl. She will be the country's first out lesbian governor and the first woman elected governor in Massachusetts https://t.co/66FxCOYXzF https://t.co/CNpYh4esu9"
115,"CNN PROJECTION: Senate Majority Leader Chuck Schumer, a Democrat, will win reelection in New York, defeating Republican Joe Pinion https://t.co/R9Tun2IDq0 https://t.co/0aQ2lFt3pE"
116,"CNN PROJECTION: Republican Sarah Huckabee Sanders, who served as press secretary under former President Donald Trump, will be the first woman elected governor of Arkansas, winning the office her father previously held for over a decade https://t.co/NGz5gMuare https://t.co/NOz7OU4auL"
117,"CNN PROJECTION: Republican Sen. Rand Paul will win reelection in Kentucky, defeating progressive Democratic challenger Charles Booker https://t.co/VAaxxY5WzD"
118,"CNN PROJECTION: Republican Sen. Marco Rubio will win reelection in Florida, defeating Democratic challenger Val Demings https://t.co/NRZXSxpUQP https://t.co/PznYICWFhe"
119,"CNN PROJECTION: Florida Republican Gov. Ron DeSantis will win reelection, defeating former governor and Democratic challenger Charlie Crist https://t.co/RSIwiRFZAm https://t.co/GFRcUl2vyR"
120,Polls are closing across several key states. Follow live updates with control of the House and Senate at stake #CNNelection https://t.co/WvsY90hKQJ
121,"The Powerball drawing for a record $2.04 billion jackpot has been held after a delay over security protocols. Did you win?
https://t.co/ELtqLoi3q2"
122,"Subtropical Storm Nicole is expected to strengthen into a Category 1 hurricane before reaching Florida later this week, latest forecast says https://t.co/s9byW5vpqJ"
123,"Yevgeny Prigozhin, a Kremlin-linked oligarch known as ""Vladimir Putin's chef,"" appeared to admit to Russian interference in US elections in a Telegram post https://t.co/krayIo7Mk2 https://t.co/6YXfC6TMZB"
124,"Twitter is delaying the rollout of its $8 ""blue check"" verification plan until after midterms, a source says. https://t.co/vHudYbbXKE"
125,"Arizona Republican Kari Lake's campaign headquarters received ""suspicious"" mail containing white powder, her campaign and Phoenix police say
https://t.co/pxZQNmRI1J"
126,Aaron Carter’s older brother Nick is heartbroken after the singer’s death at the age of 34. https://t.co/EzKiXCJF7c
127,"At least 19 dead after a commercial aircraft crashed into Lake Victoria in Tanzania
https://t.co/eQxN5waZRa"
128,"A rescue operation is underway after a commercial plane operated by Precision Air crashes into Lake Victoria in Tanzania, the airline says https://t.co/tylZv5aWRB"
129,The Houston Astros won the franchise’s second World Series title on Saturday after defeating the Philadelphia Phillies 4-1 in Game 6 at Minute Maid Park. https://t.co/KabREwS8dk
130,"Singer Aaron Carter, who rose to fame as a child pop star, has died at age 34. https://t.co/fzkjKoGDey https://t.co/yf9H2QcCOv"
131,The House January 6 committee is talking with Secret Service agents who were in former President Donald Trump's motorcade the day of the US Capitol riot https://t.co/2CozgFK2XJ
132,"Tom Barrack, a longtime ally of former President Donald Trump, has been acquitted of foreign lobbying charges https://t.co/Z4qhyg7IYk"
133,"US economy added 261,000 jobs in October, indicating that the Fed's efforts to cool the economy might be working https://t.co/HO4drT3iOD"
134,"Elon Musk will begin laying off Twitter employees on Friday morning, according to a memo sent to staff. 
https://t.co/zYQer9JVCp"
135,"Brooklyn Nets suspend Kyrie Irving for at least five games over his ""failure to disavow antisemitism"" following Twitter controversy
https://t.co/g7kc8DrjYN"
136,"Paul Pelosi, husband of House Speaker Nancy Pelosi, has been released from a San Francisco hospital after recovering from surgery to repair a skull fracture and injuries to his hand and arm, according to a source familiar with the matter. https://t.co/sLXztU48u1"
137,"The FBI has issued a warning after it received “credible information of a broad threat to synagogues” in New Jersey, according to a tweet from FBI Newark. https://t.co/XjUwiQomHA"
138,"Bank of England raises interest rates by 0.75 percentage points, its biggest hike in 33 years, to tackle double-digit UK inflation https://t.co/mIwZjFwKBB"
139,"Pakistan’s ex-Prime Minister Imran Khan has been injured after an unidentified gunman opened fire at a rally, according to an official from Khan’s PTI party https://t.co/4ZaK8OKpsU"
140,A judge formally sentenced the Parkland school shooter to life in prison. Jurors had failed to reach a unanimous decision on the death penalty. https://t.co/cF5e6Ev9nJ
141,"The Fed makes history with a fourth consecutive three-quarter point rate hike, an unprecedented move to curb the US economy's white-hot inflation. https://t.co/fIzNddI3hl"
142,"Trump's lawyers saw Justice Clarence Thomas as ""key"" to a plan to delay certification of Biden's 2020 win, according to emails recently turned over to the House select committee investigating January 6 https://t.co/IycLypR0Rh"
143,"Russia says it will resume participation in a grain export deal with Ukraine that is vital to global food security.

Live updates: https://t.co/alf2f9lhkV"
144,"CVS, Walgreens and Walmart have tentatively agreed to pay at least $12 billion to settle a number of lawsuits alleging the retailers mishandled prescriptions of opioid painkillers, according to reports from Bloomberg and Reuters
https://t.co/YLa4dlcHT3"
145,"Man accused of attacking Paul Pelosi, husband of House Speaker Nancy Pelosi, pleads not guilty to all state charges during initial court appearance
https://t.co/YJXVfIx0BI"
146,"Former Israeli leader Benjamin Netanyahu may be on the verge of a comeback, as exit polls suggest his bloc could win a majority in parliament
https://t.co/5SBcCDvaxQ"
147,"Brazilian President Jair Bolsonaro does not concede election loss in speech after days of silence, but signals cooperation with transfer of power
https://t.co/4FStE9Qrg5"
148,"Two police officers were shot Tuesday afternoon in Newark, New Jersey, and authorities are looking for a suspect, according to several law enforcement sources https://t.co/Bq46PWunMb"
149,"Supreme Court declines to block subpoena for Sen. Lindsey Graham's testimony in front of Atlanta grand jury probing efforts to overturn 2020 election
https://t.co/h91Wf797FL"
150,"Takeoff, who was one third of the platinum-selling rap group Migos, was shot and killed early Tuesday in Houston,Texas, a source close to the group confirmed to CNN. He was 28. https://t.co/jPFciC8ENa https://t.co/WE7CU7iuHm"
151,Supreme Court Chief Justice Roberts has issued a temporary hold on the release of Trump's tax returns to a Democratic-led House committee https://t.co/f13U22wmQz
152,SpaceX's Falcon Heavy returns to flight for the first time since 2019. The rocket is hauling satellites to space for a secret US military mission. https://t.co/u3WEHliA7b
153,"Federal charges have been filed against the suspect accused of attacking Paul Pelosi, the husband of House Speaker Nancy Pelosi, at the couple’s home https://t.co/HDr2FqVX9n"
154,Former President Trump asks US Supreme Court to halt the release of his IRS tax returns to Democratic-led House committee https://t.co/IR0qeoslmO
155,"Russia renews attacks on key infrastructure in Kyiv and other Ukrainian cities, causing power and water outages in the capital https://t.co/uLRh0PQRtc"
156,Luiz Inácio Lula da Silva wins Brazil's presidential election in a stunning comeback after a neck-and-neck race against incumbent Bolsonaro. https://t.co/nQdTOmFOnK
157,"At least 60 people have died after a suspension bridge collapsed in India's Gujarat state, an official says. https://t.co/WiQJqChqUu"
158,"The man who is alleged to have attacked Nancy Pelosi's husband in the couple's home had a bag that contained multiple zip ties, a source says
https://t.co/kGiwqdyjlO"
159,"At least 2 US citizens among those killed in Seoul tragedy, US embassy says
https://t.co/ojsqQqi3Q4"
160,"Nancy Pelosi says her children and grandchildren are ""heartbroken and traumatized"" in her first public comments since her husband was attacked Friday https://t.co/pCD2DMDftF"
161,"The death toll has reached at least 120 during crowded Halloween festivities in South Korea’s capital of Seoul. Follow live updates.
https://t.co/JMKzgK3pdy"
162,"At least 59 are dead and 150 injured after a Halloween incident in South Korea’s capital, official says. The cause of the deaths is unclear.
https://t.co/iEDod0ZSXi"
163,"Dozens of people suffer ""cardiac arrest"" following an incident during Halloween festivities in South Korea's capital Seoul https://t.co/HdU6Xwd50f"
164,"Russia suspends its participation in UN-brokered grain export deal with Ukraine after drone attacks in Crimea for which Moscow blames Kyiv.

Follow live updates: https://t.co/0gWmMkb3pd"
165,"Paul Pelosi underwent surgery ""to repair a skull fracture and serious injuries to his right arm and hands,"" a spokesman for Nancy Pelosi said https://t.co/lJSYG2Tw32"
166,Six people were taken to the hospital after shots were fired in Pittsburgh’s Brighton Heights area. Officials report a “very active” scene. https://t.co/VceyCpAxEE
167,"Jerry Lee Lewis, the singer who electrified early rock 'n' roll with hits like ""Great Balls of Fire"" and ""Whole Lotta Shakin' Goin' On,"" has died at age 87 https://t.co/wbztVHcGjC"
168,"The man who assaulted Paul Pelosi tried to tie him up, sources say. When the police arrived, the assailant said he was “waiting for Nancy.” https://t.co/UR3w2TOnDM"
169,"Model Gisele Bündchen and football star Tom Brady will mutually petition for dissolution of marriage in Florida on Friday, a source tells CNN. https://t.co/SACegLNUbG"
170,"New inflation data shows that US prices were still uncomfortably high last month, despite aggressive action from the Federal Reserve https://t.co/8E3Fec6lCo"
171,"Paul Pelosi, the husband of House Speaker Nancy Pelosi, was attacked at the couple's home in San Francisco early Friday morning, her office said https://t.co/uwZg8BGXFd"
172,"Moscow sends up to 1,000 troops to Kherson, Ukraine says, as Russian forces dig in ahead of an expected battle for the occupied city.

Follow live updates: https://t.co/RwOhKlz0DM"
173,"Elon Musk closes deal to purchase Twitter and fires CEO Parag Agrawal and two other executives, according to a source. https://t.co/djlwYfGqEL"
174,Appeals court clears the way for the IRS to turn over Trump’s tax returns to House committee. Trump could still appeal to the Supreme Court. https://t.co/JwHyS7yN28
175,"At least one person is dead and four are injured, including a player for English soccer team Arsenal, after a stabbing attack in Italy https://t.co/rw7UwMnhpf"
176,"The House January 6 committee is moving to interview Secret Service officials and top agents, signaling it’s still pursuing answers on a number of fronts https://t.co/UprEUTa8vG"
177,"US mortgage rates top 7% for the first time since 2002, more than doubling since the beginning of this year 
https://t.co/eVcDGjmUcy"
178,"The European Central Bank has hiked interest rates by three quarters of a percentage point, promising further hikes to come as it tackles rising inflation https://t.co/E0bYE6jCUt"
179,"The US economy bounced back last quarter, growing at an adjusted rate of 2.6%, after shrinking in the first half of the year https://t.co/3j5uluQFrM"
180,Jury finds Darrell Brooks guilty of first-degree intentional homicide after he drove his SUV through a crowd at a Wisconsin Christmas parade last year https://t.co/X5pBP8z4wD
181,The body of an American man killed in August while fighting alongside the Ukrainian military has been returned to Kyiv's custody by Russian forces https://t.co/F8FZC9Gzte
182,"President Obama's final defense secretary, Ashton Carter, has died at age 68 https://t.co/oxmX5cbQnV"
183,"US home prices continued to grow in August, but the pace of growth slowed considerably as rising mortgage rates pushed more prospective buyers out of the market https://t.co/b2frEbMVvY"
184,"A Russian court upholds US basketball star Brittney Griner's conviction for smuggling drugs into the country

Follow live updates: https://t.co/m1jfa0OWpX"
185,"King Charles III officially appoints Rishi Sunak as British Prime Minister, the country's third leader in seven weeks
https://t.co/7vfD4IR1Uk"
186,"Leslie Jordan, a beloved comedian and actor known for his work on “Will and Grace,” has died, his longtime staff member told CNN. He was 67. https://t.co/4zwVkh2uYm"
187,A former Minneapolis police officer who helped restrain George Floyd has pleaded guilty while another has waived his right to a trial by jury https://t.co/ft1YY14Yo3
188,The US Justice Department has unsealed charges against two alleged Chinese spies who are accused of interfering with a federal prosecution of China-based telecommunications company Huawei https://t.co/LmB1dBu9f8
189,"A woman and teen were killed in a shooting at a St. Louis school and the suspected shooter is also dead, police say https://t.co/PpBh2LNWCr"
190,Supreme Court Justice Clarence Thomas freezes order for Sen. Lindsey Graham to testify before Atlanta-area grand jury probing election interference https://t.co/VQcb0pdEGw
191,"A Michigan teen pleads guilty to murder charges in high school shooting that also led to charges against his parents
https://t.co/4WZcijAb9c"
192,Rishi Sunak will be Britain's new prime minister after seeing off rivals in the fast-tracked race to replace Liz Truss https://t.co/BpPCjj3G9S
193,"Boris Johnson won't enter UK Conservative Party leadership race, dashing potential comeback bid for premiership. https://t.co/FaNleXyBGy"
194,"Two employees have been killed in a shooting at a Dallas hospital, according to police https://t.co/r1ZcdpBfwG"
195,"Dr. Rochelle Walensky, director of the CDC, tested positive for Covid-19 and has mild symptoms https://t.co/7uoDbM68TS"
